hour,site_id,site_name,county,capacity_mw,n_samples,actual_mean,pred_mean,bias_pct,avg_rel_err_raw,wape,mape,is_low_power_site_hour,is_problem,problem_type,problem_reason
6,S071,协鑫南岗光伏,灌云县,20.0,82,4.007439024390244,0.0062354508317002885,-99.84,98.04,99.84,98.04,False,True,systematic_underestimate,系统性低估
6,S072,交控大浦光伏,连云区,3.125,14,0.038571428571428576,0.009698122537027348,-74.86,59.78,74.86,59.78,True,False,normal,正常
6,S073,华能裕灌光伏,灌南县,15.0,26,0.105,0.09795412789416841,-6.71,251.66,75.44,251.66,True,True,low_power_denominator,低功率分母放大效应
6,S074,华能中林二期光伏,灌云县,4.0,17,0.04352941176470588,0.0084216841167007,-80.65,66.38,80.65,66.38,True,True,systematic_underestimate,系统性低估
6,S075,旭樱新田光伏,海州区,2.63,14,0.030000000000000002,0.008044338283613431,-73.19,72.76,73.19,72.76,True,False,normal,正常
7,S002,华筑泰宝光伏,连云区,3.3,113,0.43194690265486724,0.023196773070844057,-94.63,84.28,94.77,84.28,False,True,systematic_underestimate,系统性低估
7,S004,旭樱东堡光伏,连云区,3.97,65,0.1570769230769231,0.04345774247142862,-72.33,68.5,75.25,68.5,True,False,normal,正常
7,S006,沐恒石湖光伏,东海县,5.0,9,0.15555555555555559,0.16905702796032182,8.68,22.05,23.22,22.05,True,False,insufficient_samples,样本不足，无法判断
7,S007,林洋朝阳光伏,连云区,22.0,96,0.9778125000000001,0.5159884981636939,-47.23,85.16,60.72,85.16,True,False,normal,正常
7,S008,协鑫盛昌光伏,灌云县,3.172,105,0.14885714285714285,0.04736249350550003,-68.18,69.76,68.42,69.76,True,False,normal,正常
7,S010,易睐珂浦南光伏,海州区,2.0,93,0.0639784946236559,0.07264220837827423,13.54,72.26,42.85,72.26,True,False,normal,正常
7,S011,中森西苑光伏,灌云县,2.323,89,0.06910112359550562,0.07179364615550364,3.9,82.94,44.64,82.94,True,False,normal,正常
7,S012,泰富如意情光伏,东海县,17.55,102,0.40235294117647064,0.20404920401938642,-49.29,32.71,49.42,32.71,True,False,normal,正常
7,S014,鲲鹏昇昌光伏,灌云县,5.1,88,0.16465909090909092,0.059439148213482756,-63.9,68.2,64.57,68.2,True,False,normal,正常
7,S016,衡航亚新光伏,灌南县,8.5,39,0.5192307692307694,0.444026318029744,-14.48,48.65,34.47,48.65,False,False,normal,正常
7,S017,富云四队光伏,灌云县,0.954,69,0.07449275362318838,0.023799999999999977,-68.05,91.3,82.66,91.3,False,True,normal,正常
7,S018,国能百菇源光伏,灌云县,5.1,89,0.2052808988764045,0.07754804167791962,-62.22,65.16,62.62,65.16,True,False,normal,正常
7,S019,首耀新海光伏,海州区,3.0,102,0.7787254901960786,0.05330243312380882,-93.16,74.34,93.46,74.34,False,True,systematic_underestimate,系统性低估
7,S022,浦西光伏电站,海州区,3.24,99,0.1398989898989899,0.039305266139696635,-71.9,73.15,75.46,73.15,True,False,normal,正常
7,S023,连洋徐圩光伏,连云区,16.37,80,0.48137500000000005,0.2867953316593736,-40.42,53.9,48.79,53.9,True,False,normal,正常
7,S024,兴怡紧固件光伏,赣榆区,5.99,85,0.20929411764705882,0.07103101504367806,-66.06,89.68,71.32,89.68,True,False,normal,正常
7,S025,夏源银得隆光伏,灌南县,5.65,82,0.24987804878048778,0.23006286785216493,-7.93,65.43,41.19,65.43,True,False,normal,正常
7,S028,华能星耀光伏,灌云县,3.14,77,0.1735064935064935,0.09018378864004747,-48.02,57.78,53.46,57.78,False,False,normal,正常
7,S030,中森侍庄光伏,灌云县,2.9,90,0.11933333333333336,0.040127709427935525,-66.37,66.23,70.29,66.23,True,False,normal,正常
7,S031,富云杨集光伏,灌云县,0.9222,47,0.03468085106382979,0.04676109019246106,34.83,61.31,43.86,61.31,True,False,normal,正常
7,S033,天瀚万发光伏,海州区,5.688,93,0.23537634408602154,0.08148224117958133,-65.38,76.37,70.82,76.37,True,False,normal,正常
7,S034,建魄俊达光伏,灌云县,3.496,52,0.18249999999999997,0.06164261464337707,-66.22,65.73,66.22,65.73,False,False,normal,正常
7,S035,国能品品鲜光伏,灌云县,5.296,99,0.20202020202020204,0.0520164888097861,-74.25,65.55,75.28,65.55,True,False,normal,正常
7,S037,华能中林三期光伏,灌云县,5.946,44,0.16113636363636363,0.027775518438757772,-82.76,81.6,82.76,81.6,True,True,systematic_underestimate,系统性低估
7,S038,衡诚天晴光伏,海州区,1.672,80,0.08425,0.046842318357512035,-44.4,57.64,51.53,57.64,False,False,normal,正常
7,S039,沐恒腾东光伏,东海县,3.45,88,0.08715909090909091,0.017650235864546317,-79.75,72.62,79.75,72.62,True,False,normal,正常
7,S040,华电苏班光伏,赣榆区,5.96,87,0.2739080459770115,0.13444615320007053,-50.92,68.08,58.19,68.08,True,False,normal,正常
7,S041,交控赣榆南光伏,赣榆区,2.2,86,0.09744186046511627,0.04726525109944211,-51.49,70.69,59.81,70.69,True,False,normal,正常
7,S042,国能联合动力光伏,连云区,3.724,84,0.18178571428571427,0.09965022572415985,-45.18,62.49,55.22,62.49,True,False,normal,正常
7,S047,汇九齿轮光伏电站,灌云县,4.8,64,0.18609375,0.06359135630374708,-65.83,68.78,68.64,68.78,True,False,normal,正常
7,S048,卓贵光之明光伏,连云区,4.0,47,0.2219148936170213,0.10674624205363241,-51.9,74.59,55.38,74.59,False,False,normal,正常
