site_id,类型,nrmse_pct,mae_MW,bias_MW
S062,预测最好,4.461036027926218,0.14316394267400112,0.07502141429082357
S023,预测最好,4.726148037255093,0.454596358824162,0.11290526314095835
S049,预测最好,4.958402817583915,0.40579036696131415,0.07698434117873934
S048,预测最好,5.6192234788654245,0.09853641234550681,0.004960155379030296
S047,预测最好,5.707934776919743,0.19284033901664613,0.08406709975733165
S065,预测最差,7.784524217457385,0.09299437639742791,0.04055407691090366
S063,预测最差,8.261598077792213,0.20286729456481462,0.08336979238455132
S072,预测最差,9.294119721554589,0.1966337478041689,0.015726389244965933
S041,预测最差,9.864787022501037,0.14299471874457337,0.08935808332802544
S115,预测最差,13.479553741792005,0.5104852728206625,0.07940723803695511
S116,相对正确,7.24668698994593,0.7522854853818681,0.04005821197417461
S030,相对正确,7.314298587983886,0.1354015297578137,0.07493957020572313
S007,相对正确,7.3834752031418125,0.7392744965451291,0.10472933357210369
S058,相对正确,7.686549201578963,0.3166609260308484,0.018723624247685047
