site_id,site_name,site_status,exclude_reason,nrmse_pct,mae_MW,rmse_MW,pred_actual_ratio,test_zero_ratio_6_19_pct
S054,鸿天伍江光伏电站,系统性偏差,"pred/actual=1.224超出[0.8,1.2]",8.1136,0.5791,0.9146,1.1854,26.99
S073,华能裕灌光伏电站,系统性偏差,"pred/actual=0.798超出[0.8,1.2]",9.4456,0.9058,1.4168,0.7896,21.96
S006,沐恒石湖光伏电站,系统性偏差,"pred/actual=2.501超出[0.8,1.2]",11.4213,0.3418,0.5711,2.2019,46.02
S022,浦西光伏电站,系统性偏差,"pred/actual=0.597超出[0.8,1.2]",12.0713,0.2442,0.3911,0.6853,23.13
S052,鹰游新立成二期光伏电站,系统性偏差,"pred/actual=0.589超出[0.8,1.2]",12.4578,0.4616,0.7574,0.6318,24.47
S071,协鑫南岗光伏发电站,系统性偏差,"pred/actual=0.524超出[0.8,1.2]",13.4672,2.0913,2.6934,0.5915,12.47
S066,科来恩润石光伏电站,系统性偏差,"pred/actual=0.587超出[0.8,1.2]",14.0895,0.4768,0.7679,0.6365,25.0
S009,华电金叶光伏电站,系统性偏差,"pred/actual=0.586超出[0.8,1.2]",14.3034,0.4647,0.7509,0.6544,23.19
S032,华能中林光伏电站,系统性偏差,"pred/actual=0.181超出[0.8,1.2]",20.8521,1.2604,1.9465,0.2077,26.05
S019,首耀新海光伏电站,系统性偏差,"pred/actual=0.587超出[0.8,1.2]",31.6388,0.5518,0.9492,0.6043,20.55
S116,林洋伊山光伏发电站,系统性偏差,"pred/actual=0.000超出[0.8,1.2]",33.349,4.8803,7.3368,0.0,21.9
S115,鑫众墩尚光伏发电站,系统性偏差,"pred/actual=0.000超出[0.8,1.2]",34.4329,1.5252,2.4103,0.0,33.84
