time,hour,actual_city_mw,pred_city_mw,rmse_city_MW,mae_city_MW,nrmse_city_pct,bias_city_MW
2025-09-01 06:00:00,6,11.69,7.860204159392432,3.8297958406075674,3.8297958406075674,0.9852895986378835,-3.8297958406075674
2025-09-01 07:00:00,7,48.239999999999995,39.58453170266775,8.655468297332241,8.655468297332241,2.226787860145695,-8.655468297332241
2025-09-01 08:00:00,8,107.45000000000002,90.66787632224897,16.782123677751045,16.782123677751045,4.317528294176501,-16.782123677751045
2025-09-01 09:00:00,9,144.92000000000002,130.15696737723124,14.763032622768776,14.763032622768776,3.7980777808924246,-14.763032622768776
2025-09-01 10:00:00,10,164.89000000000001,154.04130524352115,10.848694756478864,10.848694756478864,2.7910380989552244,-10.848694756478864
2025-09-01 11:00:00,11,184.14,173.0990644069308,11.040935593069179,11.040935593069179,2.840495799733299,-11.040935593069179
2025-09-01 12:00:00,12,202.3,174.45563547133264,27.84436452866737,27.84436452866737,7.1635052865965,-27.84436452866737
2025-09-01 13:00:00,13,196.20999999999995,165.75297137158324,30.457028628416708,30.457028628416708,7.835664030653533,-30.457028628416708
2025-09-01 14:00:00,14,187.25,150.410751934902,36.83924806509799,36.83924806509799,9.477614330069233,-36.83924806509799
2025-09-01 15:00:00,15,155.40000000000003,121.76986828280866,33.630131717191375,33.630131717191375,8.65200662406954,-33.630131717191375
2025-09-01 16:00:00,16,108.36000000000001,83.51950950575643,24.840490494243582,24.840490494243582,6.390700164622519,-24.840490494243582
2025-09-01 17:00:00,17,55.349999999999994,44.61806630330444,10.731933696695556,10.731933696695556,2.7609990413870333,-10.731933696695556
2025-09-01 18:00:00,18,16.05,10.845509705413113,5.204490294586888,5.204490294586888,1.338956531075758,-5.204490294586888
2025-09-01 19:00:00,19,8.79,0.0,8.79,8.79,2.2613987618340103,-8.79
2025-09-02 06:00:00,6,11.2,7.791051405502395,3.4089485944976046,3.4089485944976046,0.8770184449092916,-3.4089485944976046
2025-09-02 07:00:00,7,42.76,15.745113970481693,27.014886029518305,27.014886029518305,6.950105781369693,-27.014886029518305
2025-09-02 08:00:00,8,95.24,73.40803004397125,21.831969956028743,21.831969956028743,5.616699639017146,-21.831969956028743
2025-09-02 09:00:00,9,124.3,108.78477668752313,15.515223312476863,15.515223312476863,3.991593491287071,-15.515223312476863
2025-09-02 10:00:00,10,149.89000000000001,121.90791779981546,27.98208220018455,27.98208220018455,7.19893584084583,-27.98208220018455
2025-09-02 11:00:00,11,171.01,157.61899597977882,13.391004020221175,13.391004020221175,3.445096690676043,-13.391004020221175
2025-09-02 12:00:00,12,186.76,151.41779356917357,35.34220643082642,35.34220643082642,9.092471201723876,-35.34220643082642
2025-09-02 13:00:00,13,150.75000000000003,145.31235046402162,5.437649535978409,5.437649535978409,1.3989412887313828,-5.437649535978409
2025-09-02 14:00:00,14,148.97,118.5653826215051,30.404617378494905,30.404617378494905,7.8221802154454165,-30.404617378494905
2025-09-02 15:00:00,15,103.4,99.25596138168306,4.144038618316941,4.144038618316941,1.0661346758195964,-4.144038618316941
2025-09-02 16:00:00,16,61.769999999999996,61.79363952412944,0.023639524129443146,0.023639524129443146,0.006081728167994078,0.023639524129443146
2025-09-02 17:00:00,17,34.510000000000005,38.13957097830678,3.6295709783067736,3.6295709783067736,0.9337778516873261,3.6295709783067736
2025-09-02 18:00:00,18,14.02,9.574326529079995,4.4456734709200045,4.4456734709200045,1.1437361186185218,-4.4456734709200045
2025-09-02 19:00:00,19,8.59,0.0,8.59,8.59,2.209944865091485,-8.59
2025-09-03 06:00:00,6,12.089999999999998,5.5952327796884065,6.494767220311592,6.494767220311592,1.6709054096032707,-6.494767220311592
2025-09-03 07:00:00,7,46.38,12.282872935814177,34.09712706418583,34.09712706418583,8.772150275887004,-34.09712706418583
2025-09-03 08:00:00,8,86.07,52.84585063613152,33.22414936386847,33.22414936386847,8.547559753633719,-33.22414936386847
2025-09-03 09:00:00,9,133.37000000000003,86.06498929726799,47.30501070273205,47.30501070273205,12.17013568051227,-47.30501070273205
2025-09-03 10:00:00,10,155.89,87.41629845322178,68.4737015467782,68.4737015467782,17.61619384483229,-68.4737015467782
2025-09-03 11:00:00,11,107.67,106.70540153106897,0.9645984689310296,0.9645984689310296,0.24816175009187857,-0.9645984689310296
2025-09-03 12:00:00,12,136.74999999999997,104.63974443538206,32.110255564617916,32.110255564617916,8.260988870989829,-32.110255564617916
2025-09-03 13:00:00,13,112.88000000000001,131.6891428047231,18.809142804723095,18.809142804723095,4.8390184584482245,18.809142804723095
2025-09-03 14:00:00,14,86.99,116.90047501542546,29.91047501542546,29.91047501542546,7.695052464818003,29.91047501542546
2025-09-03 15:00:00,15,71.07999999999998,72.13689563632965,1.0568956363296707,1.0568956363296707,0.27190699469666507,1.0568956363296707
2025-09-03 16:00:00,16,62.98,54.03093545702245,8.949064542977545,8.949064542977545,2.302321214682829,-8.949064542977545
2025-09-03 17:00:00,17,34.95,22.853486686061377,12.096513313938626,12.096513313938626,3.112063734999935,-12.096513313938626
2025-09-03 18:00:00,18,12.430000000000001,8.405341934192743,4.024658065807259,4.024658065807259,1.0354217027101023,-4.024658065807259
