site_id,county,install_group,capacity_MW,n_rows,mae_MW,rmse_MW,nrmse_pct,bias_MW,pred_actual_ratio,test_zero_ratio_pct,site_status,exclude_from_ranking,exclude_reason
S060,赣榆区,rooftop,5.84,1708,0.3881,0.5957,10.2005,0.1082,1.1215,26.76,测试期分布漂移,是,cf_mean漂移0.186>=0.1或cf_p95漂移0.310>=0.2
S034,灌云县,rooftop,3.496,1708,0.1994,0.3572,10.2185,0.0337,1.0629,37.3,测试期分布漂移,是,cf_mean漂移0.178>=0.1或cf_p95漂移0.277>=0.2
S038,海州区,other,1.672,1708,0.1005,0.171,10.2258,-0.0218,0.9294,28.4,测试期分布漂移,是,cf_mean漂移0.177>=0.1或cf_p95漂移0.272>=0.2
S028,灌云县,rooftop,3.14,1708,0.189,0.327,10.4152,-0.0506,0.9133,27.52,测试期分布漂移,是,cf_mean漂移0.097>=0.1或cf_p95漂移0.220>=0.2
S008,灌云县,rooftop,3.172,1708,0.1886,0.3308,10.4301,-0.0727,0.889,22.78,测试期分布漂移,是,cf_mean漂移0.210>=0.1或cf_p95漂移0.316>=0.2
S063,东海县,rooftop,3.66,1708,0.2477,0.4001,10.9319,-0.0819,0.8889,36.59,测试期分布漂移,是,cf_mean漂移0.126>=0.1或cf_p95漂移0.126>=0.2
S041,赣榆区,ground,2.2,1708,0.1506,0.2491,11.3236,-0.02,0.9617,26.41,测试期分布漂移,是,cf_mean漂移0.113>=0.1或cf_p95漂移0.118>=0.2
S051,灌云县,rooftop,5.025,1708,0.3632,0.5908,11.7572,0.1531,1.2611,25.88,测试期分布漂移,是,cf_mean漂移0.124>=0.1或cf_p95漂移0.186>=0.2
S072,连云区,ground,3.125,1708,0.2379,0.374,11.9681,-0.1033,0.8673,24.94,正常评价,否,
S052,灌云县,rooftop,6.08,1708,0.495,0.8058,13.2534,-0.4445,0.5887,24.47,系统性偏差,是,"pred/actual=0.586超出[0.8,1.2]"
S050,东海县,rooftop,2.55,1708,0.2111,0.34,13.3341,0.1026,1.4315,15.69,测试期分布漂移,是,cf_mean漂移0.158>=0.1或cf_p95漂移0.205>=0.2
