site_id,site_status,nrmse_pct,rmse_MW,mae_MW,bias_MW,n_samples,capacity_mw
S062,正常评价,5.521755539522586,0.24592132211260956,0.14372585845266733,0.04199035483605304,1708,4.45368
S023,正常评价,5.9799932484560845,0.9789248947722611,0.5833061801708643,-0.020753984109745167,1708,16.37
S031,测试期分布漂移,6.280836139322431,0.057921870876831455,0.034164130129264156,0.00541672263442068,1708,0.9222
S049,正常评价,6.317507776609189,0.8907685965018957,0.5027896616736656,-0.09117590744050962,1708,14.1
S056,正常评价,6.740417240844425,0.2123231430865994,0.12804084023989218,0.0059817171619618486,1708,3.15
S047,正常评价,6.760440264191916,0.32450113268121195,0.18073158728143135,-0.007303519044655259,1708,4.8
S010,测试期分布漂移,6.851388471029721,0.13702776942059441,0.08342497687982439,0.026273772174985544,1708,2.0
S064,测试期分布漂移,6.895340384491084,0.22671879184206686,0.14245724124823983,0.04824881104396044,1708,3.288
S070,测试期分布漂移,7.106930896946428,0.149245548835875,0.08692440596283021,0.01818878471392943,1708,2.1
S068,测试期分布漂移,7.403721169368491,0.09054750990137665,0.05263221638518853,0.00011599941916371674,1708,1.223
S024,测试期分布漂移,7.464484005669707,0.44712259193961545,0.24977573305369447,0.05303144419536063,1708,5.99
S025,测试期分布漂移,7.525625710766402,0.4251978526583018,0.2541306461474263,0.029392534807730183,1708,5.65
S048,正常评价,7.649153205599232,0.3059661282239693,0.17742720748282195,-0.009834711387658023,1708,4.0
S011,正常评价,7.661785121376033,0.17798326836956524,0.10348759731927842,0.002713462010245974,1708,2.323
S018,测试期分布漂移,8.26284522299837,0.4214051063729169,0.24197212155965758,0.08844979757333984,1708,5.1
S004,测试期分布漂移,8.278792093799629,0.32866804612384526,0.19257381187726968,0.03862374666147336,1708,3.97
S054,系统性偏差,8.55474798886388,0.9642911933047367,0.6155861599971895,0.3657408162526849,1708,11.272
S074,测试期分布漂移,8.576281584887994,0.3430512633955197,0.1976714755673851,-0.021626602742932884,1708,4.0
S016,测试期分布漂移,8.587897352894087,0.7299712749959975,0.4549999640995768,0.22316355706708663,1708,8.5
S035,测试期分布漂移,8.61238153358498,0.45611172601866057,0.2688099648921766,0.06646833760947278,1708,5.296
S075,测试期分布漂移,8.763437251123767,0.23047839970455505,0.1368299505549404,0.015748653625449482,1708,2.63
S030,正常评价,8.80700791513819,0.2554032295390075,0.1552642219892306,-0.015753521715574544,1708,2.9
S042,测试期分布漂移,8.837710288379293,0.32911633113924493,0.18441940366650264,-0.06245855656491238,1708,3.724
S014,测试期分布漂移,8.87798408128436,0.4527771881455024,0.27366691255192155,0.11670889635865414,1708,5.1
S039,测试期分布漂移,8.967993727083217,0.309395783584371,0.17999818259975955,0.07615884856076621,1708,3.45
S061,测试期分布漂移,8.99841928181738,0.34050018562396966,0.19749615283243643,-0.04231565489389133,1708,3.784
S077,测试期无有效发电,9.103725535406385,0.08202456707401153,0.047476812502866714,0.047476812502866714,1708,0.901
S033,测试期分布漂移,9.11160533452097,0.5182681114275527,0.30878472096950177,-0.06417146404307579,1708,5.688
S073,系统性偏差,9.327385975776647,1.3991078963664971,0.89452129143575,-0.5425554677026049,1708,15.0
S040,测试期分布漂移,9.3307680689636,0.5561137769102306,0.3286162053087594,-0.09035423715043185,1708,5.96
S017,测试期分布漂移,9.360820354809102,0.08930222618487883,0.06418118474368417,0.024873874634951634,1708,0.954
S007,正常评价,9.461056961079311,2.0814325314374487,1.254312607136214,0.11492249416593693,1708,22.0
S065,正常评价,9.713894844950168,0.18688562292199626,0.10715334677927674,0.00024962379983804907,1708,1.9239
S058,正常评价,9.722073277458268,0.5823521893197503,0.366760525830382,-0.18362202522952617,1708,5.99
S060,测试期分布漂移,10.151238375562192,0.592832321132832,0.3847707526216408,0.10497729570863858,1708,5.84
S034,测试期分布漂移,10.220467406610194,0.3573075405350924,0.19883466602044883,0.028539063255290965,1708,3.496
S038,测试期分布漂移,10.25403654616405,0.1714474910518629,0.09967163320521255,-0.023269367669185345,1708,1.672
S028,测试期分布漂移,10.307846519759254,0.32366638072044057,0.18756947027612683,-0.04869623053710633,1708,3.14
S008,测试期分布漂移,10.469546053892604,0.3320940008294734,0.18885042584637782,-0.07416342029778136,1708,3.172
S063,正常评价,10.912522793269291,0.39939833423365606,0.24560650284700916,-0.08042637666888705,1708,3.66
S041,正常评价,11.353013515688717,0.2497662973451518,0.15099374580511504,-0.019780195213219193,1708,2.2
S051,测试期分布漂移,11.81903997010517,0.5939067584977848,0.366643530338582,0.15921756479590302,1708,5.025
S072,正常评价,11.957934331911051,0.37368544787222036,0.23772407646920282,-0.1008857026546438,1708,3.125
S052,系统性偏差,13.279198054127828,0.8073752416909719,0.49596081418929133,-0.4460901605986796,1708,6.08
S071,系统性偏差,13.397207239270928,2.6794414478541855,2.08043188769411,-1.6580359460021914,1708,20.0
S050,测试期分布漂移,13.448222262415518,0.3429296676915957,0.21314281494179105,0.10329596628660097,1708,2.55
S022,系统性偏差,13.814973288521395,0.44760513454809325,0.28111468255133343,-0.2472033152088087,1708,3.24
S006,系统性偏差,13.953353890026404,0.6976676945013202,0.4195783113393813,0.3955807416264623,1708,5.0
S059,测试期分布漂移,14.15140678540429,0.2830281357080858,0.24067970849227105,-0.13807928487871785,1708,2.0
S066,系统性偏差,14.395038993971255,0.7845296251714333,0.4921271771916746,-0.3788477727736474,1708,5.45
S002,测试期分布漂移,14.40637879137004,0.4754105001152113,0.3123925850766129,-0.2003043162966999,1708,3.3
S037,测试期分布漂移,14.496137351585284,0.8619403269252609,0.4806356047059431,0.2903390045122068,1708,5.946
S009,系统性偏差,14.626391125137875,0.7678855340697384,0.4780989899256782,-0.34903766498304434,1708,5.25
S055,测试期分布漂移,15.368618277817166,0.6147447311126867,0.4519150623643042,0.18559441631917228,1708,4.0
S020,测试期分布漂移,16.60887672295358,0.631137315472236,0.3923538465815029,-0.3353060869399742,1708,3.8
S046,测试期分布漂移,18.23951175911806,0.7751792497625175,0.48503195949590416,-0.40138695525807955,1708,4.25
S003,测试期无有效发电,19.06867352567707,0.7945344197943864,0.5595479672396272,0.5595479672396272,1708,4.1667
S012,测试期分布漂移,19.579414792362087,3.4361872960595465,2.159768489738653,1.8916196594352557,1708,17.55
S021,测试期分布漂移,19.857027275528807,0.4368546000616338,0.2741008126313653,-0.21623534179844572,1708,2.2
S032,系统性偏差,21.319940309001186,1.990216427845261,1.2955108742389,-1.2702107888795102,1708,9.335
S069,测试期无有效发电,23.089058192262403,0.692671745767872,0.4745083939267943,0.4745083939267943,1708,3.0
S045,测试期分布漂移,23.138520610551627,0.67448787579758,0.4714579007208808,0.45064964977589794,1708,2.915
S044,测试期无有效发电,23.36248152284847,1.9839419309202921,1.363474750830969,1.363474750830969,1708,8.492
S053,系统性偏差,24.17083891045387,3.221972826763501,2.636028914518553,-2.4576373818236585,1708,13.33
S076,测试期无有效发电,24.260583845318827,1.2130291922659413,0.8725102942426582,0.8725102942426582,1708,5.0
S019,系统性偏差,31.91034929934171,0.9573104789802513,0.5568680968809852,-0.45442062963409163,1708,3.0
S116,系统性偏差,33.34896118194331,7.336771460027529,4.880304449648712,-4.880304449648712,1708,22.0
S115,系统性偏差,34.43287844632945,2.4103014912430614,1.525175644028103,-1.525175644028103,1708,7.0
