site_id,site_status,nrmse_pct,rmse_MW,mae_MW,bias_MW,n_samples,capacity_mw
S006,系统性偏差,8.713657990267507,0.4356828995133753,0.24761609293565082,0.20891521469601554,1708,5.0
S073,系统性偏差,9.771749626608631,1.4657624439912946,0.9802269607621303,-0.5864584057240247,1708,15.0
S022,系统性偏差,10.770217788474689,0.34895505634658,0.2451139902628753,-0.1065662520099303,1708,3.24
S052,系统性偏差,10.772605065160683,0.6549743879617695,0.43955082526347544,-0.2297778073478442,1708,6.08
S071,系统性偏差,13.396797161047688,2.6793594322095378,2.1231750379531276,-1.0938650758929735,1708,20.0
S009,系统性偏差,14.541869744708649,0.7634481615972041,0.5204426604398348,-0.16235815766103515,1708,5.25
S066,系统性偏差,14.546094185359998,0.79276213310212,0.5438243831982188,-0.18858802706605768,1708,5.45
S032,系统性偏差,20.39739294948695,1.9040966318346066,1.2730277811259876,-1.1391958286632933,1708,9.335
S053,系统性偏差,24.497690842920168,3.2655421893612586,2.617209712753113,-1.8403844054493854,1708,13.33
S019,系统性偏差,30.428889072686832,0.9128666721806049,0.5603387312718665,-0.3039271554157386,1708,3.0
