hour,n_dates,p_base_city_ratio_mean,p_base_city_ratio_median,p_base_city_ratio_p25,p_base_city_ratio_p75,p_base_city_bias_pct_mean,pred_baseline_city_ratio_mean,pred_baseline_city_ratio_median,pred_baseline_city_ratio_p25,pred_baseline_city_ratio_p75,pred_baseline_city_bias_pct_mean,power_pred_cal_city_ratio_mean,power_pred_cal_city_ratio_median,power_pred_cal_city_ratio_p25,power_pred_cal_city_ratio_p75,power_pred_cal_city_bias_pct_mean,power_pred_city_ratio_mean,power_pred_city_ratio_median,power_pred_city_ratio_p25,power_pred_city_ratio_p75,power_pred_city_bias_pct_mean
6,184,0.0825164670184052,0.000346583388891638,4.485166092439767e-05,0.0779556187442232,-91.74835329815949,0.23668018456990628,0.11530907033825011,0.03352231331143475,0.3622271101969965,-76.33198154300938,0.17046498236248217,0.04197080291970805,0.03889172364526995,0.14423172916450333,-82.95350176375177,0.13178474780625463,0.053047343136334024,0.03886399023795612,0.1634302888506993,-86.82152521937452
7,184,0.27379344045846926,0.2067484658251421,0.03809908968474158,0.4757690494345258,-72.62065595415308,0.47556259386801714,0.4264494610637353,0.23057746764300846,0.6864349938173673,-52.44374061319829,0.3483452592981603,0.3380033488490944,0.06626212501048892,0.5502097602603515,-65.16547407018398,0.30746962986882515,0.22728891442077975,0.10169477178096478,0.49709091074990996,-69.25303701311748
8,184,0.5541936514987955,0.5199432675387089,0.38721234731293985,0.6926021047558827,-44.580634850120454,0.7814826626115531,0.7480961858131078,0.6202478507617427,0.9108362093738553,-21.851733738844707,0.5970683425212,0.6044857901398843,0.44896952337840756,0.7046063702154362,-40.29316574787999,0.5981825824978403,0.5769421980643124,0.39649519142288303,0.7747633591694115,-40.18174175021598
9,184,0.7463095337832606,0.7087426009897242,0.6197663589898817,0.8342320179874615,-25.369046621673935,0.9456152576331055,0.926246265537317,0.8233541916629953,1.0145198466928793,-5.438474236689453,0.7155421651558495,0.7125390066323676,0.5855358953231093,0.8023727315388356,-28.445783484415063,0.8048291496375342,0.8079915554172261,0.6611187783071539,0.9090972226398205,-19.517085036246584
10,184,0.8621975017328747,0.8297767812187861,0.7448958799551357,0.9452071900384795,-13.780249826712527,0.976175653267669,0.9633011563690307,0.8574976630275849,1.0486723191243956,-2.382434673233107,0.7553968672555015,0.7642491736000512,0.6575085248125287,0.8370163653700398,-24.46031327444986,0.8642363682721492,0.8763149037599072,0.7559007163351201,0.9523800054999481,-13.576363172785086
11,184,0.9205447814514759,0.9028688413988266,0.7902533859639933,1.0070379038288768,-7.945521854852419,0.9639763531814293,0.9514173182728065,0.8579289207852044,1.0356627205457427,-3.6023646818570807,0.7805766313566669,0.7926274880731565,0.6722725130988907,0.8813324049821526,-21.942336864333303,0.8672440574454134,0.8745241389503922,0.7775028605609546,0.9539164624689253,-13.275594255458664
12,184,0.9753754927833538,0.960956936999996,0.8712626339737346,1.0505666724676712,-2.4624507216646307,0.952630421278778,0.9371617126043204,0.8510687833530775,1.0204071024706722,-4.736957872122212,0.7713563182346467,0.8003842965587974,0.6982315506615677,0.862548231574422,-22.864368176535322,0.8611297781595822,0.8692877465423119,0.7760991320873063,0.9526372452405956,-13.887022184041781
13,184,1.0432392146130456,1.0231114184307089,0.9051739335844335,1.1359078464794754,4.323921461304564,0.9895475093293373,0.9644575291483386,0.8532315466789999,1.076790656969872,-1.0452490670662757,0.7886862700493318,0.8044592333245542,0.6882217704410505,0.8901413893671455,-21.131372995066805,0.8896344511531168,0.8839265124010217,0.7705809323396771,0.9970989182687391,-11.036554884688334
14,184,1.086146191681666,1.0468033934521166,0.9214017236483271,1.1681937973332404,8.614619168166605,0.9874990753265892,0.9479454453165992,0.8367234928161071,1.056808462202252,-1.2500924673410743,0.7531558783680157,0.7574954113167749,0.6350987628334744,0.8498138436724898,-24.68441216319844,0.8728953017569919,0.8665597587859266,0.7514863372565139,0.9677885340242726,-12.710469824300798
15,184,1.1146367141150082,1.0830273626052453,0.9163861887057813,1.2655247682202764,11.463671411500824,0.9778255662106222,0.9647844025304201,0.8381854632409806,1.0913001357047716,-2.217443378937783,0.7188009392616316,0.7309957518740395,0.6123337560082939,0.8263705287665639,-28.11990607383686,0.8305150521893053,0.8690940845511935,0.6822280275777273,0.9493499979785485,-16.948494781069474
