date,hour,n_sites,mean_site_mape_pct,city_total_actual_mw,city_total_pred_mw,city_total_rel_err_pct,WAPE_city_pct,city_total_abs_err_mw
2025-07-01,6,53,46.2717929135607,20.02,10.828499430538116,45.91159125605336,49.78155561494837,9.966267434112662
2025-07-01,7,54,49.58234219401931,65.58,33.2109706630956,49.3580807211107,49.3580807211107,32.3690293369044
2025-07-01,8,54,26.357999781987495,108.03999999999999,84.43702873507317,21.84651172244245,25.96151826685915,28.048824335514627
2025-07-01,9,54,28.733055241234528,141.66,125.17448112580608,11.637384493995421,24.421922542680736,34.59609547396153
2025-07-01,10,54,22.64949125999045,170.36,147.20524632569018,13.591660996894712,18.018406743060076,30.69615772747715
2025-07-01,11,54,26.23826047000372,183.45999999999998,152.47694705794078,16.888178862999677,21.214600589470137,38.92030624144191
2025-07-01,12,54,35.75006441682053,171.30999999999997,145.0921039339592,15.30435821962569,27.15443191116622,46.51825730701884
2025-07-01,13,54,29.682125499894536,161.37,144.35290291084732,10.54539077223318,25.63395946119086,41.36552038252369
2025-07-01,14,54,37.351345596735186,104.83999999999999,123.53731656144929,17.83414399222558,30.796031502693772,32.286559427424145
2025-07-01,15,54,28.232999274347492,87.33,94.83547100754969,8.594378801728714,22.132865248177374,19.3286312212333
2025-07-01,16,54,31.282255111536895,82.52000000000001,65.7031919714503,20.379069351126653,31.89665369185076,26.321118626515247
2025-07-01,17,54,60.64061993375588,60.120000000000005,32.92400146349385,45.2361918438226,47.0139285135172,28.264773822326543
2025-07-01,18,53,50.91827844801058,23.46,13.02728676802824,44.47021838010128,53.71223761304198,12.600890944019648
2025-07-01,19,30,84.05526896514756,0.9100000000000001,1.763956728017238,93.84139868321293,120.18607625334693,1.093693293905457
2025-07-02,6,52,46.524261362729725,18.320000000000004,10.597763340800562,42.15194682969127,52.33620197243083,9.58799220134933
2025-07-02,7,54,35.61932134915353,50.31,36.8274412749451,26.798963874090436,36.308381842640635,18.266746905032505
2025-07-02,8,54,28.557536296570095,107.27000000000001,83.12944040205002,22.504483637503483,23.535978627566536,25.247044273790625
2025-07-02,9,54,28.080985562781756,147.29999999999995,113.19002320554438,23.15680705665688,25.026052837782508,36.86337583005363
2025-07-02,10,54,25.04418926626532,178.75,138.69196670528808,22.41008855648219,22.410088556482215,40.058033294711954
2025-07-02,11,54,24.05963023529183,187.18999999999997,162.36167306814056,13.263703687087672,17.8781379584888,33.46608644449518
2025-07-02,12,54,24.940085838886457,187.81999999999996,164.81784774121303,12.246913139594792,19.0404913922785,35.761850932977474
2025-07-02,13,54,26.72476441087015,183.17999999999998,158.69619725861116,13.36598031520298,21.952685518521996,40.21292933282859
2025-07-02,14,54,20.863141018609106,167.96000000000004,153.63025579979032,8.531640986073894,16.503496710348564,27.719273074701455
2025-07-02,15,54,32.09349435462524,143.67000000000002,122.7964338253471,14.528827294948785,21.81454803662454,31.34096116421848
2025-07-02,16,54,29.226827487633855,115.75999999999999,90.90504417566336,21.471109039682645,24.325370114827813,28.159048444924675
2025-07-02,17,54,37.8627774710663,71.97000000000001,56.23312834292925,21.86587697244791,27.40399923117854,19.7226582466792
2025-07-02,18,54,31.017624341145083,30.0,24.780955231079055,17.39681589640315,28.861750236252533,8.65852507087576
2025-07-02,19,42,82.45120763180884,3.07,3.8288251641797793,24.71743205797327,92.249837910146,2.832070023841482
2025-07-03,6,52,47.14540602916383,17.880000000000003,10.126180215557461,43.365882463325164,48.29951873802959,8.635953950359692
2025-07-03,7,53,33.720394590148764,51.44,35.47615479258889,31.03391370025487,37.683233242999464,19.384255180198924
2025-07-03,8,53,28.757246504097477,103.47000000000001,79.0484818223532,23.602511044405926,25.822695140307594,26.71874266167627
2025-07-03,9,53,18.78736316651267,126.47000000000001,125.46072061539336,0.7980385740544451,16.531019736753784,20.906780661072514
2025-07-03,10,53,16.28478369778755,160.04999999999998,148.62351852605937,7.139319883749212,13.678075862118828,21.89176041732118
2025-07-03,11,53,20.91301183250763,177.93,157.28875336231064,11.600768076035163,17.046121427135553,30.33016385530229
2025-07-03,12,54,19.793820960100014,183.0,171.42637937620944,6.324382854530361,15.18792084096007,27.79389513895693
2025-07-03,13,54,21.98976204824552,169.55,161.25409968878714,4.892893135483854,19.252235364291835,32.642165060156806
2025-07-03,14,54,21.811203244821986,165.73,149.075262242929,10.04931983169673,17.234819747784723,28.563266768003615
2025-07-03,15,54,25.723044713072095,147.92999999999998,115.4740993250919,21.94003966396815,22.704546824227926,33.58683611708037
2025-07-03,16,54,35.77891108806685,107.35999999999997,81.33413637620241,24.24167625167434,31.19174317864799,33.48745547659647
2025-07-03,17,54,33.5080383677574,71.21,52.22569532296899,26.659604938956615,27.732053021922905,19.7479949569113
2025-07-03,18,54,32.7169091624783,27.08,27.19726334647218,0.4330256516698004,31.950902104451128,8.652304289885365
2025-07-03,19,43,103.02736657654543,2.86,4.200399361389232,46.86711053808505,116.013901220682,3.317997574911505
2025-07-04,6,52,47.852206885950764,19.029999999999998,10.730746071524198,43.61142369141251,50.77977895353273,9.663391934857277
2025-07-04,7,51,42.58891651748885,59.22,33.396471241754476,43.60609381669288,44.08719077687203,26.108434378063613
2025-07-04,8,51,33.42698807644014,90.41999999999999,82.35441868713217,8.920129742167465,30.36738863277757,27.458192801757473
2025-07-04,9,51,27.270704207013253,131.87,124.74565906208117,5.402548675148882,23.231065077949413,30.634805518291895
2025-07-04,10,50,21.138063111504856,158.89,145.022938670597,8.727460085218068,15.353001805669548,24.39438456902834
2025-07-04,11,50,20.801119319191233,171.09000000000003,156.57769601719178,8.48226312631261,16.587359383452135,28.379313169148265
2025-07-04,12,50,20.98678575923244,176.84000000000003,158.2475683930566,10.513702559909193,17.487006516677525,30.92402232409254
2025-07-04,13,50,18.46843622094819,172.66,163.5813249491985,5.2581229299209475,12.804942350863973,22.109013463001737
2025-07-04,14,50,16.012771488209847,166.14999999999998,151.6161629520881,8.747419228355026,11.895384874840818,19.764181969548016
2025-07-04,15,50,15.883613953770089,142.08,128.28073304796698,9.712321897545774,11.60345355340121,16.48618680867244
2025-07-04,16,51,18.56166655910813,112.43,97.93695204635969,12.890730190910176,14.09199359659246,15.843628400648903
2025-07-04,17,52,26.046074549604853,69.82000000000001,59.11329600584948,15.334723566528973,19.735790497883208,13.779528925622058
2025-07-04,18,52,27.203732814452692,27.549999999999997,27.58928869677945,0.14260869974393675,27.966578031425993,7.704792247657861
2025-07-04,19,42,87.09298378505163,2.58,3.908543414760599,51.493930804674385,102.02141017799215,2.632152382592198
2025-07-05,6,52,44.135667945321764,19.03,10.872733721011636,42.86529836567716,47.15674915171163,8.973929363570724
2025-07-05,7,53,40.398993647865254,62.86000000000001,37.291343993529985,40.67555839400258,40.71948927214503,25.59627095647037
2025-07-05,8,53,25.120665366337576,110.31,87.11589570489404,21.026293441307185,21.508685476068166,23.726230948650795
2025-07-05,9,53,17.28154013653499,149.31,131.41189566614062,11.987210725242367,13.851753303657757,20.682052857691396
2025-07-05,10,53,33.67635029724838,175.39,157.47935397819717,10.21189692787663,13.278005782142346,23.28829434129946
2025-07-05,11,53,13.586796280238683,192.49,172.39547236115868,10.43925795565553,11.844366388902525,22.79922086199847
2025-07-05,12,53,14.01379203665327,195.71,174.6021463045071,10.785270908738902,12.431627033636099,24.32993726752921
2025-07-05,13,52,13.154310230904139,186.23,171.89559487423986,7.697151439488874,10.596309764025515,19.733507673544715
2025-07-05,14,52,13.372598556452683,173.5,157.48965305271494,9.227865675668621,10.83897861656924,18.80562789974763
2025-07-05,15,52,16.328023164051963,148.02999999999997,131.64386686374274,11.069467767518228,12.15948221576469,17.99968152399647
2025-07-05,16,52,18.295162107166178,113.70999999999998,98.35027763182275,13.50780262789309,14.774085300209913,16.79961239486869
2025-07-05,17,52,19.218408408157043,67.33000000000001,60.705612527511626,9.838686280244149,15.844216877766486,10.667911223800179
