site_id,before_nrmse,after_nrmse,improvement,calibration_applied
S002,14.396916190202615,14.436939568024007,-0.04002337782139165,True
S003,19.151104842596165,16.27843911620674,2.8726657263894246,True
S004,8.30563354242398,8.689962224058414,-0.38432868163443423,True
S006,13.860269677524602,11.4212735420163,2.4389961355083027,True
S007,9.461308540307565,9.484012570717475,-0.022704030409910203,True
S008,10.430104550215557,10.059283271711147,0.37082127850441005,True
S009,14.626391125137875,14.30338598049063,0.3230051446472455,True
S010,6.908972408105997,6.984645331459374,-0.07567292335337683,True
S011,7.648442582229206,7.7150650049226845,-0.06662242269347818,True
S012,19.576540124234334,18.69122450403466,0.8853156201996732,True
S014,8.8794271587226,8.735167450061578,0.14425970866102134,True
S016,8.595196166378393,8.347401320253345,0.2477948461250481,True
S017,9.306564847113359,10.449055566566596,-1.142490719453237,True
S018,8.281615448613849,8.117919712391132,0.16369573622271716,True
S019,31.922641179610473,31.63881730590851,0.28382387370196227,True
S020,16.60887672295358,15.872549239948116,0.7363274830054625,True
S021,19.85702727552881,18.91032303960771,0.9467042359211,True
S022,13.807377999987452,12.071312912388448,1.7360650875990036,True
S023,5.979460931306304,5.979068708248083,0.00039222305822050885,True
S024,7.474727733407269,7.481920078381142,-0.0071923449738733325,True
S025,7.547770063697203,7.525346308705815,0.022423754991388378,True
S028,10.415161354055384,10.417701632688477,-0.0025402786330932514,True
S030,8.798971857263293,8.824976948645608,-0.02600509138231466,True
S031,6.241189569700367,6.288125810525182,-0.046936240824814845,True
S032,21.31994030900118,20.8521454408341,0.46779486816707916,True
S033,9.132599074277396,9.112972837820346,0.019626236457050084,True
S034,10.218513582094687,10.480585873325102,-0.26207229123041564,True
S035,8.588806758831986,8.433872919196492,0.15493383963549334,True
S037,14.518330774129176,13.207790539412839,1.3105402347163366,True
S038,10.225774549942509,10.166403179170587,0.059371370771922116,True
S039,9.068257248198826,9.430862286553829,-0.362605038355003,True
S040,9.34423343020338,9.358247243543882,-0.014013813340502779,True
S041,11.32362139298225,11.39083983088003,-0.06721843789777893,True
S042,8.791589871131666,8.699134314057678,0.092455557073988,True
S044,23.385821316640246,19.87794811914421,3.5078731974960355,True
S045,23.077938709257158,19.97519697536603,3.102741733891129,True
S046,18.23951175911806,17.702577961718653,0.5369337973994064,True
S047,6.765966761569034,6.88271464990991,-0.11674788834087568,True
S048,7.653029960958438,7.667650684913356,-0.014620723954918091,True
S049,6.321360526974676,6.32936193454849,-0.008001407573813957,True
S050,13.3341386495339,14.231956312971402,-0.8978176634375021,True
S051,11.757195095390113,11.287941447694102,0.46925364769601074,True
S052,13.253422841283088,12.457816628993195,0.7956062122898935,True
S053,24.170505818734657,23.655735696644022,0.5147701220906349,True
S054,8.55959675151259,8.113587936760219,0.4460088147523713,True
S055,15.53625150424007,14.380817052889538,1.1554344513505317,True
S056,6.723777590827111,6.862490309957574,-0.13871271913046268,True
S058,9.769685799334377,9.67589009536876,0.09379570396561654,True
S059,14.164194107055264,14.300174329205802,-0.13598022215053795,True
S060,10.200475765949918,10.895708171680239,-0.6952324057303212,True
S061,8.972810512677649,8.969356260187785,0.0034542524898633076,True
S062,5.301007408340265,5.293572130593666,0.007435277746599134,True
S063,10.931899107337097,10.504938241180616,0.426960866156481,True
S064,6.888301074419541,6.938952118004485,-0.05065104358494388,True
S065,9.726193048979336,9.806099276097557,-0.07990622711822049,True
S066,14.395038993971252,14.089470472992774,0.3055685209784773,True
S068,7.407021179152749,7.422562257598568,-0.015541078445819423,True
S069,22.69575124393418,19.29138855734405,3.4043626865901295,True
S070,7.0890269098867575,7.141524735341774,-0.052497825455016134,True
S071,13.404887347698402,13.467169054824263,-0.062281707125860564,True
S072,11.968107672390536,11.981041051309454,-0.012933378918917882,True
S073,9.325404219536042,9.445583513225706,-0.12017929368966485,True
S074,8.603997906666494,8.708581579471717,-0.10458367280522296,True
S075,8.848570218825321,9.14787308491217,-0.2993028660868493,True
S076,24.38073499716203,23.6529553917453,0.7277796054167283,True
S077,9.223503141935979,7.839977670645583,1.3835254712903957,True
S115,34.43287844632945,34.43287844632945,0.0,True
S116,33.34896118194331,33.34896118194331,0.0,True
