site_id,county,capacity_MW,nrmse_pct,mae_MW,rmse_MW,pred_actual_ratio,类型
S062,连云区,4.454,5.301,0.1401,0.2361,1.0723,预测最好
S023,连云区,16.37,5.9795,0.5832,0.9788,0.9891,预测最好
S031,灌云县,0.922,6.2412,0.0337,0.0576,1.0437,预测最好
S011,灌云县,2.323,7.6484,0.1035,0.1777,1.0092,预测最差
S065,东海县,1.924,9.7262,0.1073,0.1871,1.0023,预测最差
S009,赣榆区,5.25,14.6264,0.4781,0.7679,0.5865,预测最差
S068,灌云县,1.223,7.407,0.0527,0.0906,0.9997,相对正确
S065,东海县,1.924,9.7262,0.1073,0.1871,1.0023,相对正确
S011,灌云县,2.323,7.6484,0.1035,0.1777,1.0092,相对正确
