scene,hours,train_samples,valid_samples,ridge_train_mae,ridge_valid_mae,ridge_valid_rmse,lgb_train_mae,lgb_valid_mae,lgb_valid_rmse,lgb_best_iteration
dawn,"[6, 7, 8]",90330,12648,0.04137012811419848,0.063708614440677,0.0986562747091577,0.03618679225938251,0.059787806348121385,0.09526632673089055,65
day,"[9, 10, 11, 12, 13, 14, 15, 16]",241008,33728,0.10354090750749112,0.1716808534414916,0.2210457897802552,0.10171051462410975,0.1623507857011842,0.21050240516034938,5
dusk,"[17, 18, 19]",90433,12648,0.030413613744796238,0.04277165582369045,0.07888365914520058,0.027364792818267973,0.04224652000671273,0.07756898147949316,61
