hour,n_ts,actual_sum,pred_sum,cap_h,raw_factor,shrink,final_factor,factor_clipped,f_min,f_max,factor_final,city_nrmse_before,city_nrmse_after,city_nrmse_delta,sm_nrmse_before,sm_nrmse_after,sm_nrmse_delta,bias_before,bias_after,bias_abs_delta,status,rollback_reason
6,62,976.02,423.2670760249705,388.69747999999987,2.305919962322843,0.020248203788373612,1.026442533528418,1.026442533528418,0.97,1.03,1.0,2.5752,2.534,-0.0413,4.3096,4.314,0.0044,-56.6334,-55.4866,-1.1467,rollback,bias_abs=-1.147
7,62,3242.2000000000003,2804.6836340382133,388.69747999999987,1.1559949081785905,0.020248203788373612,1.0031586166907487,1.0031586166907487,0.97,1.03,1.0032,3.8946,3.8895,-0.0051,7.7843,7.7851,0.0008,-13.4944,-13.2212,-0.2732,ok,
8,62,5895.770000000001,5567.836340321226,388.69747999999987,1.0588978625869336,0.020248203788373612,1.0011925759243598,1.0011925759243598,0.97,1.03,1.0012,3.8601,3.8514,-0.0087,12.0913,12.0904,-0.001,-5.5622,-5.4496,-0.1126,ok,
9,62,8243.589999999998,7930.135136688039,388.69747999999987,1.039527051923969,0.020248203788373612,1.0008003518025101,1.0008003518025101,0.97,1.03,1.0008,5.2819,5.275,-0.007,16.4337,16.4329,-0.0008,-3.8024,-3.7254,-0.077,ok,
10,62,10024.820000000002,9768.11042054171,388.69747999999987,1.0262803723961236,0.020248203788373612,1.000532130335911,1.000532130335911,0.94,1.04,1.0005,6.5572,6.5557,-0.0015,19.6935,19.6934,-0.0,-2.5607,-2.5089,-0.0519,ok,
11,62,11006.239999999998,10943.43475020029,388.69747999999987,1.0057390802095805,0.020248203788373612,1.0001162060656414,1.0001162060656414,0.94,1.04,1.0001,7.493,7.4934,0.0005,21.7585,21.7587,0.0002,-0.5706,-0.5591,-0.0116,ok,
12,62,11338.330000000002,11395.966391920761,388.69747999999987,0.9949423866358871,0.020248203788373612,0.9998975924139206,0.9998975924139206,0.94,1.04,0.9999,6.3901,6.3895,-0.0006,22.6891,22.6889,-0.0003,0.5083,0.498,-0.0103,ok,
13,62,11005.439999999999,11195.44299287367,388.69747999999987,0.9830285417919938,0.020248203788373612,0.9996563584556184,0.9996563584556184,0.94,1.04,0.9997,6.6603,6.6572,-0.0031,22.353,22.3518,-0.0012,1.7264,1.6915,-0.035,ok,
14,62,10068.320000000003,9995.656278007958,388.69747999999987,1.007269529880886,0.020248203788373612,1.0001471949224738,1.0001471949224738,0.94,1.04,1.0001,7.3355,7.3355,-0.0,21.122,21.122,0.0,-0.7217,-0.7071,-0.0146,ok,
15,62,8336.09,7914.5723029925875,388.69747999999987,1.0532584302563048,0.020248203788373612,1.0010783875492786,1.0010783875492786,0.97,1.03,1.0011,6.616,6.6066,-0.0094,18.0865,18.0844,-0.0021,-5.0565,-4.9542,-0.1024,ok,
16,62,6323.559999999999,5753.44004677846,388.69747999999987,1.099092012532705,0.020248203788373612,1.0020064352635623,1.0020064352635623,0.97,1.03,1.002,5.8765,5.8595,-0.0169,14.5011,14.4963,-0.0048,-9.0158,-8.8333,-0.1826,ok,
17,62,3760.8,3516.6267525420844,388.69747999999987,1.069433939010277,0.020248203788373612,1.0014059125469095,1.0014059125469095,0.97,1.03,1.0014,3.4291,3.4248,-0.0043,8.8244,8.8233,-0.0011,-6.4926,-6.3611,-0.1315,ok,
18,62,1473.1200000000003,1414.0755680003676,388.69747999999987,1.0417547925554833,0.020248203788373612,1.0008454595488046,1.0008454595488046,0.97,1.03,1.0008,1.5457,1.5461,0.0004,4.4643,4.4657,0.0014,-4.0081,-3.927,-0.0812,ok,
19,62,373.86,393.20497659463206,388.69747999999987,0.9508018012331125,0.020248203788373612,0.9990038248453471,0.9990038248453471,0.97,1.03,0.999,0.6208,0.6206,-0.0002,3.7298,3.728,-0.0017,5.1744,5.0696,-0.1048,ok,
